Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
US	Commercial_banks	2009	484428.107	123676.476	242960.947	355798.535	230636.724	4088.53	43508.953	-30320.164	688321.981	299761.131	6303012.492	2941562.022	1717428.668	1334107.471	NA	382353.348	8002776.961	155193.007	2075655.48	6905	82190	1908064
Russia	Commercial_banks	2004	527114.318	236303.377	311127.107	368888.953	54119.996	32501.521	NA	145036.115	855009.901	NA	4473560.278	1038379.272	693292.773	1003266.101	19549.09	737022.917	2738653.563	30594.671	2531155.882	1249	3232	NA
Russia	Commercial_banks	2005	706169.099	287784.724	433026.912	492008.817	97947.937	59077.558	NA	200571.61	900579.192	NA	6385964.659	1399347.614	958811.945	1316537.033	20203.75	1086337.224	4031913.238	67293.672	3122418.493	1205	3283	NA
Russia	Commercial_banks	2006	976865.978	428173.355	689912.411	740608.994	127514.749	88639.817	NA	279842.144	1246693.153	NA	9464341.899	1743725.318	1421300.476	1777672.763	13781.447	1730472.495	5955736.966	168300.885	4230096.29	1143	3272	NA
Russia	Commercial_banks	2007	1417381.285	663641.347	879095.02	968214.307	158639.737	119838.796	NA	383841.885	1716117.451	NA	14286491.655	2244169.457	1783399.393	2804541.049	34019.987	2807313.283	8676587.06	290156.489	5417560.088	1092	3442	NA
Russia	Commercial_banks	2008	2188839.533	1072089.558	1396639.297	1641854.743	455693.381	NA	NA	NA	2784682.62	NA	19937821.286	2359092.786	2749208.432	3102855.519	3370296.701	3639412.248	10850471.138	375254.977	6492514.541	1058	3455	NA
Russia	Commercial_banks	2009	2757394.701	1503315.96	1470494.376	1471396.951	1050914.575	67825.06	2852.46	131584.071	2473894.017	NA	19877162.148	4293810.195	2679356.93	3756867.653	1423127.974	3117069.275	12950589.568	412662.215	7663906.605	1007	3163	NA
Slovenia	Commercial_banks	2002	1511.201	898.36	433.063	637.666	198.791	87.809	NA	NA	658.82	1656.968	9973.533	7152.568	1229.713	1414.254	NA	3033.861	13987.877	770.696	1464.914	17	638	11543
Slovenia	Commercial_banks	2003	1428.583	804.504	442.137	676.083	161.839	89.914	NA	NA	659.746	1395.927	11448.937	7743.689	1222.102	1529.54	NA	4177.769	14314.172	917.604	1531.316	16	636	11397
Slovenia	Commercial_banks	2004	1248.836	622.758	491.531	696.169	176.282	94.456	NA	NA	673.645	1950.709	13890.915	7338.554	1195.344	1652.497	NA	5414.811	15278.276	938.286	1765.297	16	736	11380
Slovenia	Commercial_banks	2005	1369.6	609.464	492.847	743.187	172.917	71.54	NA	NA	847.292	2817.712	17870.061	8789.931	1295.815	2356.875	0.324	9241.392	17167.037	968.431	1886.752	18	723	11397
Slovenia	Commercial_banks	2006	1618.2	803.554	587.317	822.499	147.923	100.408	NA	NA	1480.943	2881.149	22617.346	8594.869	1573.422	2687.903	0.28	12300.198	18920.261	944.258	2294.829	18	741	11707
Slovenia	Commercial_banks	2007	2288.192	1289.623	692.727	931.357	209.058	121.824	NA	NA	1281.464	3994.391	31937.295	8395.392	1735.456	3383.205	156.529	18345.104	21455.198	948.512	3055.45	20	740	11866
Slovenia	Commercial_banks	2008	3052.587	1892.961	481.386	972.811	382.604	67.726	NA	NA	1768.871	4259.841	37418.305	7661.487	1863.506	4168.432	1229.825	20177.638	23069.211	1283.469	3043.435	20	682	12045
Slovenia	Commercial_banks	2009	2464.36	1322.375	562.202	966.623	647.784	39.899	NA	NA	2070.258	5938.122	37365.98	9231.606	1908.402	4386.079	2099.925	17860.474	26251.401	3445.404	2471.085	21	690	11934
Denmark	Savings_banks	2004	6835.067	1878.964	2616.618	4314.055	918.482	557.113	293.423	1489.648	9129.188	6403.06	85071.36	41427.412	4850.438	18939.819	4438.66	20173.909	94039.828	179.738	9109.506	49	463	6235
Denmark	Savings_banks	2005	7377.613	2208.195	3543.02	4674.87	562.968	858.233	NA	NA	9518.87	9557.414	107505.496	39162.509	12084.711	22613.883	4102	31237	107323.686	559.708	11992.723	49	470	6616
Denmark	Savings_banks	2006	9147.146	3623.236	4434.682	5321.311	-5.906	915.822	NA	NA	5753.959	15117.315	140647.682	42707.723	7264.914	27023.24	9570	41797	123443.326	3299.725	6358.302	47	499	6363
Denmark	Savings_banks	2007	12650.12	6487.785	3656.963	5925.14	193.737	731.123	NA	NA	5739.274	11867.078	170254.007	43639.465	9971.434	30648.507	5865	51119	141122.555	6708.196	6008	45	513	6846
Denmark	Savings_banks	2008	15581.766	8568.938	808.817	6428.479	3982.706	-388.486	NA	NA	12204.652	13943.226	176022.546	44705.824	16176.39	26597.004	9535.728	45560.781	151884.51	10817.523	18657.092	42	491	6946
Denmark	Savings_banks	2009	13114.494	5354.529	3495.558	7448.503	7937.491	-500.057	NA	NA	7468.789	17808.003	151950.368	51909.863	14709.395	26780.187	1029.294	31388.528	155462.118	12897.391	16288.907	41	471	6900
Finland	Savings_banks	1999	247.711	86.618	58.918	157.678	12.941	10.09	0	39.303	224.197	391.675	3755.911	1074.286	326.621	393.579	0	582.726	4410.713	68.808	316.864	40	213	1893
Finland	Savings_banks	2000	320.393	116.299	72.191	171.162	21.513	19.39	0	64.221	313.196	313.481	4165.597	1133.814	324.508	468.583	0	613.22	4591.957	110.084	466.752	40	213	1952
Finland	Savings_banks	2001	365.253	145.791	60.143	176.371	28.65	22.287	0	52.298	331.987	523.376	4643.918	1147.442	326.461	541.079	0	843.925	4960.005	120.915	507.26	40	217	2009
Finland	Savings_banks	2002	333.469	129.63	61.032	187.298	29.711	15.2	0	32.662	223.253	628.151	5121.475	1197.481	333.128	596.185	0	820.741	5303.633	145.521	637.409	40	226	2034
Finland	Savings_banks	2003	292.087	105.305	69.728	188.383	28.123	14.404	0.01	25.59	254.964	669.756	5569.756	1175.019	292.312	679.738	0	821.255	5728.101	172.756	559.958	40	232	1967.5
Finland	Savings_banks	2004	277.171	98.08	80.956	182.954	31.178	14.968	0.02	30.927	279.071	714.803	6092.766	1322.491	296.864	733.64	0	825.437	6307.374	259.481	580.063	40	233	1904
Finland	Savings_banks	2005	293.787	102.151	55.539	148.754	31.329	17.861	0.08	49.151	309.494	787.027	6578.338	1411.505	312.161	817.599	0	923.629	6801.366	329.316	526.614	40	231	1918
Finland	Savings_banks	2006	361.101	149.136	66.078	153.239	33.115	27.665	0.173	63.851	335.103	733.791	6828.427	1951.219	248.266	882.606	0	947.755	7245.836	381.597	639.013	40	226	1930
Finland	Savings_banks	2007	488.336	251.15	70.894	172.121	33.924	24.572	1.392	76.073	258.998	903.768	7510.984	2643.373	326.201	1027.634	0	1413.876	7854.332	390.229	957.254	39	238	2033
Finland	Savings_banks	2008	550.634	321.788	41.738	170.656	15.655	20.246	0.325	63.702	28.183	583.033	5001.834	883.589	218.138	760.866	0	69.393	5542.489	81.608	260.422	38	165	1259
Finland	Savings_banks	2009	227.823	75.928	31.581	117.017	4.129	15.121	0.628	46.581	27.724	533.58	5325.912	936.975	236.047	859.819	0	105.692	5743.666	124.124	226.937	35	169	1252
France	Savings_banks	1999	10047.91	6992.68	1381.04	3445.65	190.71	408.11	0	391.79	660.26	103243.2	70679.79	36852.57	9821.07	8590.35	3.05	45370.96	159652.23	1513.21	6126.77	34	4240	35000
Germany	Savings_banks	1999	51228	28965	2571	18012	1417	3227	1305	873	18771.06	73863.78	558936.1	246859.9	27281	38138.8	21919.08	185499.76	595382.01	45997.86	38773.82	578	17667	282150
Germany	Savings_banks	2000	52774	31248	6101	18335	4260	2770	1286	976	18732	73137	578906	256488	26974	40266	32854	201247	591162	47480	41228	562	16892	283450
Germany	Savings_banks	2001	54522	32916	5970	18688	5239	1633	1187	829	21933	79563	594613	262614	27074	42672	17452	211235	625781	45992	42665	537	16490	282850
Germany	Savings_banks	2002	53932	30698	6174	19022	6959	1471	1280	676	20344	88925	605086	258837	24967	44619	13287	214810	634656	46014	44773	520	15628	278800
Germany	Savings_banks	2003	50962	27458	5762	19349	5161	3011	1165	580	20913	78675	613671	262650	24178	46032	18771	210126	637192	43306	44660	491	14757	271900
Germany	Savings_banks	2004	48524	25332	5902	18907	5787	2122	1393	885	19332	86714	609916	262688	23365	47619	18001	205277	642282	43877	44959	477	14292	265400
Germany	Savings_banks	2005	47328	24402	6063	19146	4916	2285	1517	1125	20254	87761	612376	271740	21852	49744	22073	203452	649659	42222	46833	463	13950	260800
Germany	Savings_banks	2006	47046	24597	6398	19014	5412	1973	1593	855	21535	97783	615447	270340	21909	52084	19075	198345	662832	45486	49192	457	13756	257000
Germany	Savings_banks	2007	48987	28038	6900	19373	4717	1574	1366	819	21536	123969	617447	260257	21764	54298	14673	195027	681008	48137	51830	446	13624	253700
Germany	Savings_banks	2008	51861	31000	6570	18865	6405	1016	1002	143	22708	128362	631387	267215	21089	56418	22153	185731	710590	42038	53831	438	13457	251400
Germany	Savings_banks	2009	46401	23831	5985	19101	4741	2250	1153	1310	23286	100121	642619	287982	19333	57596	25410	175798	730784	30790	52963	431	13266	249600
Korea	Savings_banks	2004	3219828	1756667	476044	870553	1186837	78583	NA	NA	17635	3423465	27740353	2247858	2500097	1412079	0	43100	32635713	44662	1836954	113	116	6306
Korea	Savings_banks	2005	3612600	1817509	890700	814457	1635788	160179	NA	NA	19681	3900117	32585571	2554758	2602132	2193226	0	37100	37283798	131033	2054202	111	129	6418
Korea	Savings_banks	2006	4684538	2134424	676521	989272	1597064	225708	NA	NA	17802	4549245	39722180	3620232	2892808	3291133	NA	NA	44512573	388805	2609756	110	143	7079
Korea	Savings_banks	2007	5154924	2574861	1012172	1161517	1439606	287444	NA	NA	19158	5684752	44411760	4793458	3125560	4363863	NA	NA	50415523	484805	2770497	107	169	7535
Korea	Savings_banks	2008	5972024	3557513	742584	1669293	1160893	192497	NA	NA	20978	8457235	52104259	4223654	4412668	4728481	NA	NA	60897665	624455	2968193	106	194	7748
Korea	Savings_banks	2009	6636551	4287631	1107196	1691046	1638506	146740	NA	NA	26049	8279608	61187983	8758195	5345065	5337585	NA	NA	73276137	1169203	3813975	105	207	8066
Mexico	Savings_banks	2009	7216.215	1700.151	379.627	4793.173	1429.54	41.486	0	-368.508	0	923.174	39221.207	9837.523	-107.522	6716.587	0	914.573	41094.751	0	1148.472	70	1216	NA
Norway	Savings_banks	1999	34997	21255	3660	9730	481	1598	1363	4230	11848	6543	416259	38037	15723	38698	6008	46429	290002	56629	50644	130	1069	10778
Norway	Savings_banks	2000	40818	25629	3430	10474	-1325	2477	1560	5433	9434	10993	481676	40085	17935	44307	2578	42683	323582	84015	62955	130	1011	10584
Norway	Savings_banks	2001	49446	32922	3377	11389	1345	1988	1471	3708	8660	9924	540129	46976	19495	48454	5334	38831	355689	109844	67031	129	1002	11117
Norway	Savings_banks	2002	51356	34135	2897	12069	2897	1639	2214	1299	12908	9127	588172	51562	19552	49379	677	45394	395370	119572	70931	129	866	11114
Norway	Savings_banks	2003	44247	26346	5126	12561	2624	2024	2957	2861	17907	8225	649814	51276	17705	52811	1313	47189	413860	160236	69518	129	844	10973
Slovakia	Savings_banks	1999	141.004	35.939	35.007	38.657	66.876	2.294	15.239	17.005	82.963	171.837	754.53	196.559	493.773	270.492	0	19.916	1337.257	13.028	58.969	2	0	633
Slovakia	Savings_banks	2000	136.236	39.59	23.774	46.432	34.306	6.994	18.602	14.088	38.991	169.574	1002.931	210.226	392.937	334.642	0	0	1400.706	21.263	58.05	3	0	867
Slovakia	Savings_banks	2001	117.856	38.758	7.829	52.052	-1.089	0.44	14.809	20.714	48.32	159.688	1107.742	214.636	315.093	348.497	0	3.319	1405.824	20.169	67.67	3	0	916
Slovakia	Savings_banks	2002	117.535	37.435	27.184	61.113	-20.009	0.111	31.926	34.144	96.303	136.408	1120.532	318.6	245.154	309.135	0	118.204	1355.392	20.95	113.316	3	0	711
Slovakia	Savings_banks	2003	110.412	38.96	20.065	56.095	0.92	4.488	-144.257	174.272	40.39	110.905	1171.075	511.583	53.922	145.183	0	42.461	1386.533	92.343	221.356	3	0	650
Slovakia	Savings_banks	2004	110.395	41.559	24.843	57.215	8.79	4.435	-130.562	153.801	74.416	103.288	1292.024	379.453	51.305	124.968	0	59.842	1473.295	24.285	218.097	3	0	643
Slovakia	Savings_banks	2005	107.156	45.007	34.462	61.31	5.241	6.069	-118.858	142.848	40.811	216.814	1400.095	306.101	53.863	127.533	0	6.839	1652.71	18.102	212.5	3	0	662
Slovakia	Savings_banks	2006	117.414	47.505	40.556	54	-13.803	9.442	-70.321	131.146	160.256	37.103	1602.485	337.617	65.718	322.536	0	10.668	1821.63	0	48.346	3	8	633
Slovakia	Savings_banks	2007	129.157	50.366	32.977	61.342	-12.168	7.113	-78.715	134.196	134.771	44.451	1794.009	288.135	64.238	317.442	0	41.12	1898.93	33.38	34.732	3	10	641
Slovakia	Savings_banks	2008	137.086	62.232	30.009	56.513	15.06	7.436	31.866	-6.012	146.212	8.845	1940.113	262.892	68.139	312.287	0	43.795	2000.019	33.403	36.697	3	10	631
Slovakia	Savings_banks	2009	136.976	55.042	27.694	50.117	13.239	8.622	NA	NA	8.197	142.177	1945.977	302.916	85.891	320.42	10.005	26.667	2054.373	33.429	40.264	3	34	644
Spain	Savings_banks	1999	15764	6553	3519	7864	994	864	773	2233	9409	54936	203113	70602	19571	28255	3992	51094	242918	16760	14612	50	18337	97276
Spain	Savings_banks	2000	19230	9206	4307	8575	1746	706	868	2436	6096	56853	245274	81234	23677	31426	6898	58293	280033	18891	17593	48	19268	101718
Spain	Savings_banks	2001	22894	11590	3541	8981	1783	579	937	2565	9448	56080	278905	89416	25715	35213	3114	55438	319330	25195	21274	47	19829	105593
Spain	Savings_banks	2002	22381	10474	3986	9929	2278	12	984	2689	8999	57164	321707	95190	27082	39482	4519	60036	354112	31623	20370	47	20326	107745
Spain	Savings_banks	2003	21789	9121	4089	10145	2053	784	1040	2735	10532	53046	374654	100396	27279	43348	2228	58231	399395	42042	20663	47	20871	110243
Spain	Savings_banks	2004	22230	8881	4593	11184	1964	659	1197	2936	9338	59744	451544	96826	29589	47880	3170	64426	450825	57753	22987	47	21503	113408
Spain	Savings_banks	2005	25451	11302	6113	11260	3116	814	1380	3692	11653	63250	577976	111648	52287	65671	5496	72389	536002	96258	40998	47	22410	118072
Spain	Savings_banks	2006	34746	18477	8264	11982	3837	1594	1689	5432	13943	86736	738275	116857	51383	72285	5592	84532	645417	152861	46508	47	23418	124139
Spain	Savings_banks	2007	53386	32313	10171	13132	5631	1488	1946	9047	22030	86015	865215	141936	56286	79459	18750	84608	734372	196437	57856	46	24591	131933
Spain	Savings_banks	2008	63436	42711	8929	14136	8789	291	1623	4814	29025	51184	925591	179653	76429	92415	49752	82972	797070	180151	59522	46	24985	134786
Spain	Savings_banks	2009	47697	26521	9097	13785	13282	131	1108	1967	22576	61644	921310	215320	88811	101884	38547	92005	808762	204515	63948	46	24202	132340
Sweden	Savings_banks	1999	4967	1574	1583	3857	49	261	0	810	1366	6337	67255	12401	4418	14941	0	3526	70202	592	2515	84	293	3615
Sweden	Savings_banks	2000	4821	1622	1732	3658	-238	377	0	1134	898	3865	67079	8179	3296	13820	170	5848	60853	1282	1344	79	269	3180
Sweden	Savings_banks	2001	4999	1665	1376	3519	-232	315	0	1108	1010	6300	69350	8060	3058	14258	5	5087	65620	1399	1410	77	260	2543
Sweden	Savings_banks	2002	5452	2020	1197	3384	184	263	0	799	1047	7639	74819	9654	2530	14861	5	4636	72726	2301	1160	77	255	2768
Sweden	Savings_banks	2003	4843	1564	1310	3042	184	340	0	1022	995	7413	74514	12306	2276	15453	4	3754	75330	1912	1052	76	231	2602
Sweden	Savings_banks	2004	4351	1076	1504	3033	275	361	0	1110	1027	5647	81584	12561	2314	16570	234	4390	79070	1753	1116	76	232	2623
Sweden	Savings_banks	2005	4114	931	1787	3082	-1441	877	8	2445	1112	7871	88588	12267	2318	17336	1	4522	87606	1160	1530	71	222	2616
Sweden	Savings_banks	2006	4559	1355	2159	3152	5	507	21	1678	1316	9238	98243	13191	2575	18859	0	5663	98326	330	1385	68	217	2599
Sweden	Savings_banks	2007	6222	2695	2150	3401	59	497	26	1693	1375	10884	110701	20043	3447	23998	0	6242	113595	651	1964	65	216	2607
Sweden	Savings_banks	2008	7836	3922	1570	3734	2320	193	6	-769	1221	8316	125149	13138	3248	18496	0	6823	121688	965	3100	53	206	2717
Sweden	Savings_banks	2009	4551	1230	2644	3751	403	296	18	1497	1030	14873	130787	13661	3827	21359	0	4745	134245	1689	2140	53	215	2730
Switzerland	Savings_banks	1999	2790	1536	421	888	388	85	153	161	1563	2229	64435	4362	1476	4800	NA	5239	43965	16654	3405	106	394	5178
Switzerland	Savings_banks	2000	3070	1756	471	944	363	108	128	242	1153	2892	65907	4388	1468	4864	NA	5761	43599	17971	3612	103	390	5451
Switzerland	Savings_banks	2001	3232	1898	387	993	287	93	120	228	1206	3727	66910	4458	1381	5156	NA	5631	44912	18643	3340	94	387	4697
Switzerland	Savings_banks	2002	2819	1515	340	946	315	93	133	157	1283	3672	67878	4540	1447	5113	NA	5241	46468	18872	3126	88	389	4642
Switzerland	Savings_banks	2003	2574	1230	384	1004	256	105	144	219	1398	4152	68783	4873	1412	5312	NA	4291	49680	18358	2976	83	346	4424
Switzerland	Savings_banks	2004	2399	1041	394	1013	238	115	150	236	1299	3532	70579	4749	1334	5553	NA	3600	51327	18172	2842	83	346	4320
Switzerland	Savings_banks	2005	2369	1014	439	999	219	140	187	249	1303	4158	72421	4677	1319	5836	NA	3311	53573	18450	2708	79	346	4141
Switzerland	Savings_banks	2006	2465	1068	457	1020	171	158	232	273	1347	4289	74260	4742	1304	6150	NA	3680	54114	19388	2607	78	348	4135
Switzerland	Savings_banks	2007	2618	1223	475	1027	177	160	249	257	1413	4311	73901	4468	1217	6171	NA	3463	53117	19960	2600	76	322	3892
Switzerland	Savings_banks	2008	2870	1469	418	1047	185	129	244	213	1831	4925	76848	4945	1374	6377	NA	3090	55244	22235	2977	75	317	4021
Switzerland	Savings_banks	2009	2414	1096	385	990	206	105	202	200	2046	3345	80384	5103	1398	6411	NA	3434	57218	22611	2601	70	319	3980
US	Savings_banks	1999	65575.014	37917.911	10259.591	21477.166	1475.019	5434.586	5440.611	4089.308	18004.116	2665.296	666930.978	181077.555	154874.682	82675.144	NA	426.506	611491.255	2564.457	326395.242	1096	NA	211174
US	Savings_banks	2000	73655.535	45663.805	11227.492	22844.389	1925.99	5036.844	5333.805	4078.194	16609.114	2982.045	724025.378	176890.144	158273.336	89476.803	NA	371.827	634796.185	2672.851	351462.336	1083	NA	216428
US	Savings_banks	2001	73200.995	40699.049	14140.476	25173.048	2695.72	6470.672	5669.684	6633.297	16972.116	5191.615	759058.866	200167.725	171725.907	97410.429	NA	709.874	677816.624	3612.768	373566.545	1046	NA	232977
US	Savings_banks	2002	62468.962	27156.336	14766.067	26182.226	3124.598	7117.361	7469.71	6184.798	20238.56	5748.043	774358.146	207821.562	180389.174	111922.141	NA	459.102	728469.439	3809.824	343894.986	1003	NA	239024
US	Savings_banks	2003	60626.219	23082.443	19860.338	29895.524	2362.911	8746.252	12379.329	4020.093	22485.902	4436.256	882934.923	213352.137	177817.257	121579.935	NA	796.007	788416.35	5924.167	384310.008	974	NA	253449
US	Savings_banks	2004	61533.92	22563.503	20279.322	32981.336	2711.779	8077.297	8210.158	7269.169	19499.656	3306.244	1076100.587	140717.487	241713.092	144145.794	NA	815.753	852773.995	8397.344	475204.191	934	NA	249613
US	Savings_banks	2005	77908.09	35239.973	23126.213	36448.682	3016.318	9369.089	8271.156	8689.085	21160.929	3421.291	1188268.073	140339.911	265782.939	158126.165	NA	1413.109	929694.465	9191.662	520547.732	912	NA	250733
US	Savings_banks	2006	87821.009	47376.818	23598.823	38144.696	3749.829	7570.295	12019.176	2559.018	17650.002	3607.554	1091946.614	143785.562	277808.978	167089.332	NA	751.693	956742.798	10752.618	399462.274	899	NA	231798
US	Savings_banks	2007	99229.552	57015.666	19116.48	47200.668	10760.303	3002.498	27053.63	-26686.733	18162.32	3911.3	1109289.514	170960.521	312392.57	154914.674	NA	801.533	952750.749	10487.979	495761.281	889	NA	223528
US	Savings_banks	2008	71518.947	35479.375	-14541.885	36735.818	28879.52	-2895.821	7850.987	-19176.72	22575.172	4738.831	885270.635	171804.958	265449.056	124720.366	NA	NA	823249.94	2473.562	398255.409	877	NA	183325
US	Savings_banks	2009	51861.721	20317.486	-5275.157	28379.538	16983.423	1236.365	3520.079	-2523.095	22529.635	5252.09	662752.864	189911.25	215587.487	120217.312	NA	NA	756563.661	2280.908	215963.427	847	NA	149770
Slovenia	Savings_banks	2002	7.413	5.416	1.675	2.848	0.18	0.181	NA	NA	2.195	2.5	49.52	7.897	3.042	4.562	NA	1.278	55.657	0.013	3.644	2	13	54
Slovenia	Savings_banks	2003	7.666	5.34	1.947	3.261	0.242	0.193	NA	NA	1.832	11.52	62.199	3.834	3.68	5.727	NA	3.356	69.425	0.006	4.551	2	16	58
Slovenia	Savings_banks	2004	7.754	4.797	2.492	3.826	0.629	0.248	NA	NA	2.464	23.725	75.754	5.818	3.571	5.842	NA	6.307	81.745	10.436	7.002	2	17	66
Slovenia	Savings_banks	2005	9.996	5.739	3.132	5.237	0.577	0.264	NA	NA	4.794	6.607	88.575	49.768	8.449	12.209	NA	6.998	113.442	18.411	7.133	3	32	94
Slovenia	Savings_banks	2006	11.765	6.433	3.285	6.835	0.656	0.202	NA	NA	4.913	21.271	118.37	55.592	10.956	12.832	NA	12.088	152.573	25.568	8.041	3	34	125
Slovenia	Savings_banks	2007	14.32	7.973	5.782	9.161	0.64	0.572	NA	NA	6.428	43.453	157.123	32.769	15.413	17.273	NA	10.072	198.204	17.839	11.798	3	35	167
Slovenia	Savings_banks	2008	19.778	12.365	6.746	11.127	1.011	0.485	NA	NA	7.081	69.283	179.784	47.089	16.503	17.842	3	11.042	256.979	15.302	15.575	3	36	187
Slovenia	Savings_banks	2009	19.796	12.358	7.423	11.838	1.404	0.352	NA	NA	14.246	54.773	222.7	89.86	15.145	19.797	21.556	11.598	322.592	7.001	14.18	3	36	194
Canada	Cooperative_banks	1999	9144	4704	1529	4347	231	158	129	1104	23862	0	101941	15708	5540	9786	0	0	124388	173	12704	NA	NA	NA
Canada	Cooperative_banks	2000	10031	5219	1694	4612	187	223	98	1386	25695	0	107632	17899	4723	10301	0	0	133378	114	12156	NA	NA	NA
Canada	Cooperative_banks	2001	9748	4930	1765	4660	218	222	90	1393	14195	0	111292	20218	7483	10735	0	0	134991	351	7111	NA	NA	NA
Canada	Cooperative_banks	2002	8799	3761	1647	4730	193	238	748	776	14570	0	119372	18948	10096	11380	0	0	142201	355	9050	NA	NA	NA
Canada	Cooperative_banks	2003	9157	3861	1726	5164	190	275	548	845	16004	0	134192	21441	9395	12859	0	0	155546	323	12304	NA	NA	NA
Canada	Cooperative_banks	2004	8998	3754	2414	5482	226	309	506	1135	15893	0	146775	21695	11941	14185	0	0	166048	356	15715	NA	NA	NA
Canada	Cooperative_banks	2005	9612	3923	2324	5973	220	228	607	985	16534	0	161332	20245	12005	15289	0	0	177329	144	17354	NA	NA	NA
Canada	Cooperative_banks	2006	11296	4945	2309	6356	257	270	645	1132	18732	0	175720	20200	13095	17126	0	0	190328	165	20128	NA	NA	NA
Canada	Cooperative_banks	2007	12996	6019	2922	6860	349	380	713	1597	18575	0	192484	19510	16210	18706	0	0	207234	635	20204	NA	NA	NA
Canada	Cooperative_banks	2008	13411	6227	4012	7502	479	588	437	2190	20159	0	208414	25066	18114	20256	0	0	224256	400	26841	NA	NA	NA
Canada	Cooperative_banks	2009	11907	4904	2653	7240	532	277	464	1143	20525	0	220832	27207	16240	22186	0	0	236687	441	25490	NA	NA	NA
Denmark	Cooperative_banks	2004	520.416	105.342	207.712	390.912	73.425	23.604	0.623	134.222	273.977	1719.327	5965.791	974.436	265.65	1360.072	0.066	175.268	7369.17	0	294.605	3	82	532
Denmark	Cooperative_banks	2005	537.64	112.039	334.814	409.501	51.409	33.424	NA	NA	352.153	1743.403	6970.035	277.843	1062.566	1666.354	0	327	8081.711	0	330.935	3	81	556
Denmark	Cooperative_banks	2006	612.101	156.488	505.24	465.45	36.066	39.366	NA	NA	210.774	1759.602	8421.425	1570.683	370.761	2110.624	0	1252	8731.878	0	238.743	3	80	568
Denmark	Cooperative_banks	2007	841.043	328.213	324.919	517.173	69.766	31.157	NA	NA	159.308	2176.014	10148.359	1732.447	415.532	2445.283	0	1354	10617.273	1.848	213.256	4	83	580
Denmark	Cooperative_banks	2008	1039.393	454.691	-136.308	582.575	143.068	6.77	NA	NA	225.239	2164.484	11357.788	1857.167	279.343	2173.023	0	1617.837	11815.564	7.691	269.906	4	84	425
Denmark	Cooperative_banks	2009	975.286	330.894	260.927	684.894	471.799	-73.41	NA	NA	263.969	3121.669	11090.651	1845.794	364.781	2033.26	74.871	289.07	13576.181	12.826	700.656	5	76	641
Finland	Cooperative_banks	1999	897.089	267.728	391.679	620.007	35.117	38.643	12.863	314.409	193.108	2833.362	15053.671	1367.775	1614.28	2044.161	0	976.524	16441.476	498.632	1101.403	289	500	7077
Finland	Cooperative_banks	2000	1124.974	372.208	378.864	666.283	57.145	84.27	19.024	304.907	167.258	3090.524	16264.257	1274.386	1476.865	2405.763	0	1029.193	17127.139	468.356	1242.841	287	505	7121
Finland	Cooperative_banks	2001	1241.884	440.343	343.48	684.461	67.567	87.808	20.766	284.419	53.24	3550.272	17607.444	1355.711	1332.252	2730.77	0	874.319	18611.673	464.517	1217.64	286	502	7305
Finland	Cooperative_banks	2002	1124.393	360.094	312.656	688.137	80.104	75.714	19.834	213.165	180.263	3644.522	19346.81	1451.391	1263.568	3037.943	0	1145.937	20010.168	459.494	1233.012	285	516	7402.5
Finland	Cooperative_banks	2003	999.897	299.838	329.346	702.788	95.456	62.96	18.201	149.998	157.389	3626.613	21639.226	1572.433	1197.448	3328.336	0	1776.193	21414.947	418.951	1254.682	284	509	7410
Finland	Cooperative_banks	2004	982.401	304.315	356.959	673.13	111.98	63.757	18.281	167.897	145.098	3536.708	24182.347	1420.334	1153.179	3551.885	0	2471.651	22787.789	395.195	1231.146	281	503	7372.5
Finland	Cooperative_banks	2005	1042.209	345.016	280.441	542.157	130.26	68.923	21.994	214.299	145.514	1930.458	27073.626	2416.106	1106.459	3851.688	0	2625.93	24411.56	508.979	1274.005	280	483	7327
Finland	Cooperative_banks	2006	1232.152	436.526	264.235	556.806	155.313	76.414	22.546	248.783	146.222	1704.627	30258.577	2305.793	1136.881	4237.139	0	3547.934	25903.726	450.257	1413.044	275	468	7324.5
Finland	Cooperative_banks	2007	1673.039	750.681	239.51	579.037	123.877	97.781	27.225	333.95	156.146	2076.53	32658.134	2378.673	1163.469	4675.924	0	3258.055	28607.272	330.469	1561.231	271	464	7395
Finland	Cooperative_banks	2008	1997.161	1019.386	146.297	626.784	110.637	80.591	82.583	223.476	145.987	3265.865	34622.864	2567.387	1247.904	4959.116	0	2110.251	32760.182	297.625	1722.834	270	429	7726
Finland	Cooperative_banks	2009	1282.534	512.298	180.708	629.364	56.961	54.038	17.114	193.467	146.351	3199.354	35705.318	2819.766	1107.366	5319.616	0	2687.584	33610.984	261.913	1098.056	261	417	14295
France	Cooperative_banks	1999	37153.05	27480	6879.72	10874.65	1446.28	1674.96	721.69	1835.33	7573.21	306501.49	287089.85	98428.71	31810.32	37985.11	116.32	274912.08	328218.62	59966.13	30205.49	125	10361	125000
