Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Spain	Commercial_banks	2003	30233	15643	8079	11138	4872	1432	3604	1623	9964	165646	401374	195913	52434	67226	30949	254582	361109	59783	51682	138	14074	111793
Spain	Commercial_banks	2004	31722	16431	8554	12928	3603	1213	4381	1721	10277	184241	458353	233133	57149	86459	20250	298503	372278	104837	60825	136	14168	110106
Spain	Commercial_banks	2005	35509	20743	9319	11633	2896	1692	5788	2077	11030	228256	574399	276100	78721	84929	26786	376041	457047	139851	83852	139	14533	111298
Spain	Commercial_banks	2006	48832	30639	13478	12548	4886	2891	7638	3708	13601	239160	716060	249048	97312	92359	16381	372917	555357	171840	106328	142	15096	113064
Spain	Commercial_banks	2007	66645	46668	14426	14048	4491	2519	9559	3785	37077	277119	828751	292522	119115	109146	53500	430661	632125	194893	134259	151	15542	117570
Spain	Commercial_banks	2008	84267	60276	13362	14353	10064	1560	9148	2228	31545	316789	879132	300070	190991	128564	49573	494671	690322	172133	183265	159	15580	115129
Spain	Commercial_banks	2009	58260	31030	12145	14637	14080	1205	7189	2263	19859	280621	878643	364326	146696	144379	50631	509093	665569	182505	137969	153	14840	110004
Sweden	Commercial_banks	1999	108166	78464	35823	48267	-2890	4535	9164	6449	20690	687808	927754	501995	236697	126307	21530	574935	934373	379440	338358	40	1847	39607
Sweden	Commercial_banks	2000	137429	106742	43761	49816	-3936	6777	13836	7954	14759	852564	1114286	533895	284690	145445	41435	690676	1077108	421943	423587	47	1790	38815
Sweden	Commercial_banks	2001	138228	102307	46153	53693	-3307	5963	9104	16622	24051	894557	1261460	577674	299873	164590	50706	793160	1151815	484672	412670	52	1801	39092
Sweden	Commercial_banks	2002	126831	87789	29824	49088	3607	4745	17588	-6164	21821	848583	1308376	611570	402135	156675	23564	848730	1206151	468477	488889	50	1771	39095
Sweden	Commercial_banks	2003	106303	65327	32926	47765	3655	6124	9225	7131	18942	879397	1272533	653533	368725	170871	30765	797105	1269234	436143	489011	49	1815	37567
Sweden	Commercial_banks	2004	94917	57696	53640	52608	-27021	13472	16155	35646	15260	1131855	1325015	867210	436637	244813	24069	1094758	1314084	532070	566183	50	1805	37421
Sweden	Commercial_banks	2005	112245	77094	50033	55718	-8514	8413	18099	11468	19913	1319574	1594947	1060054	433260	240522	33978	1235396	1509275	792215	616363	53	1824	37644
Sweden	Commercial_banks	2006	155407	118666	96597	61190	-4237	8023	20767	47595	13761	1501491	1870965	1153089	424823	282837	5555	1395178	1715939	932454	632165	57	1852	40350
Sweden	Commercial_banks	2007	204210	156519	69643	68922	-1598	7536	26950	15524	26768	1588169	2544257	1204869	515747	310322	7223	1545313	1895785	1284362	836804	58	1889	41449
Sweden	Commercial_banks	2008	264150	205352	71152	75224	11443	4378	34306	4599	91500	1866916	2844719	1343054	1087277	306671	342814	1815874	2067708	1548650	1151749	65	1987	43533
Sweden	Commercial_banks	2009	156345	87074	63074	75985	13308	10269	10204	22579	96189	1823125	2674609	1439743	719302	381525	308589	1415406	2140812	1636696	869940	59	1905	41908
Switzerland	Commercial_banks	1999	61441	40990	37141	31756	7311	2684	8641	7200	17092	625462	793420	428306	202965	94669	NA	598712	884794	148921	340148	227	1946	106323
